COMBUSTÍVEL;ANO;REGIÃO;ESTADO;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;TOTAL
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO NORTE;AMAPÁ;140;140;180;140;145;2127;204;140;240;225;228;217;128
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO NORTE;TOCANTINS;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO NORDESTE;MARANHÃO;650,8;782;452;970,5;490;631;592;8650,3;1232;854;816;558;622
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO NORDESTE;PIAUÍ;195;300;225;330;200;95;60;90;1930;0;0;165;270
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO NORDESTE;CEARÁ;1170;850;805;935;865;850;955;835;795;9810;835;440;475
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO NORDESTE;RIO GRANDE DO NORTE;760;675;720;560;783,3;560;580;730;1100;745;8523,3;690;620
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO NORDESTE;PARAÍBA;0;10;15;55;0;44;10;0;0;0;0;134;0
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO NORDESTE;PERNAMBUCO;731;477;327;356;358;163;182;231;432;360;235;390;4242
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO NORDESTE;ALAGOAS;1956,468;60;90;37;0;20;0;450;10;65;444,468;590;190
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO NORDESTE;SERGIPE;95;2112,29;165;145;160;150;155;210;280;190;202,29;220;140
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO NORDESTE;BAHIA;1820;1540;16937,384;1525,708;1195;1543;1050;1265;1173;1378;1574,676;1280;1593
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO SUDESTE;MINAS GERAIS;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO SUDESTE;ESPÍRITO SANTO;3028,254;3089,744;3951,721;3579,083;45402,799;3264,697;4959,153;3473,51;3969,499;5438,73;3434,583;3301,495;3912,33
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO SUDESTE;RIO DE JANEIRO;34468,087;36076,449;35746,325;36541,895;31316,663;373107,077;24679,989;26600,012;28891,86;24747,071;26766,135;36996,884;30275,707
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO SUDESTE;SÃO PAULO;4763,285;3150,3;2787;3073;4284,444;4293,01;39856,064;4032,57;2056,142;3618,1;2102,189;2309;3387,024
ÓLEO DIESEL MARÍTIMO (m3);2015;REGIÃO SUL;PARANÁ;460;527,5;485;594;506,5;432,5;726;6500,702;779,5;395;750,702;453,5;390,5
